ticker,year,market_cap,data_quality_flag_x,company_name,cik,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag_y,profit_margin,gross_margin,operating_margin,debt_to_assets,return_on_assets,return_on_equity,cash_to_assets,revenue_growth,net_income_growth,log_assets,log_revenue,log_market_cap,company_id
PFE,2020,155655446470.10764,ok,Pfizer Inc,78003,40825000000.0,11153000000.0,167594000000.0,104148000000.0,63143000000.0,1121000000.0,4000000000.0,,,5577629491.0,sec_company_facts,ok,0.2731904470300061,,,0.02386720288315811,0.0665477284389656,0.17663082210221243,0.00668878360800506,-0.2230616983214707,-0.4765815656091609,25.8448102248309,24.43256047580294,25.770910724998945,78003
PFE,2021,261596750420.4905,ok,Pfizer Inc,78003,40905000000.0,16026000000.0,154229000000.0,90756000000.0,63238000000.0,1786000000.0,37133000000.0,,,5623346471.0,sec_company_facts,ok,0.3917858452511918,,,0.2407653554130546,0.10391041892251134,0.25342357443309405,0.011580182715312944,0.001959583588487357,0.43692280104007897,25.76170434783805,24.434518141912072,26.29007003451228,78003
PFE,2022,234191799942.14325,ok,Pfizer Inc,78003,41651000000.0,9159000000.0,181476000000.0,104013000000.0,77201000000.0,1944000000.0,36195000000.0,,,5619074621.0,sec_company_facts,ok,0.21989868190439604,,,0.1994478608741652,0.05046948356807512,0.11863835960674085,0.010712160285657607,0.0182373792934849,-0.4284912017970798,25.924389250503015,24.45259121487488,26.179406274440453,78003
PFE,2023,138232820918.2318,ok,Pfizer Inc,78003,73636000000.0,21979000000.0,197205000000.0,101288000000.0,95661000000.0,416000000.0,32884000000.0,,,5646778425.0,sec_company_facts,ok,0.29848172089738717,,,0.166750335944829,0.11145254937755128,0.22975925403246883,0.0021094799827590578,0.7679287412066937,1.3997161262146522,26.00750963376309,25.022399873530727,25.652205208638538,78003
PFE,2024,135660318101.83849,ok,Pfizer Inc,78003,101175000000.0,31372000000.0,226501000000.0,137213000000.0,89014000000.0,2853000000.0,61538000000.0,,,5667340414.0,sec_company_facts,ok,0.3100765999505807,,,0.2716897497141293,0.13850711475887523,0.3524389421888692,0.012595970878715767,0.373988266608724,0.42736248236953456,26.146015196870792,25.34011752770834,25.633419937307817,78003
MRK,2017,116791541977.92468,ok,Merck & Co Inc,310158,39498000000.0,4442000000.0,95377000000.0,,40088000000.0,7441000000.0,24274000000.0,,,2696190502.0,sec_company_facts,ok,0.11246139045014937,,,0.2545058032859075,0.04657307317277751,0.1108062263021353,0.07801671262463697,,,25.281103296187,24.399515874660207,25.483656490145915,310158
MRK,2018,156484312563.03104,ok,Merck & Co Inc,310158,39807000000.0,3920000000.0,87872000000.0,,34336000000.0,6092000000.0,21353000000.0,,,2581220308.0,sec_company_facts,ok,0.09847514256286583,,,0.2430011835396941,0.04461034231609614,0.11416589002795899,0.06932811361981063,0.007823180920552897,-0.11751463304817644,25.199147047091916,24.40730861316882,25.776221602688473,310158
MRK,2019,188003587363.06265,ok,Merck & Co Inc,310158,40122000000.0,2394000000.0,82637000000.0,,26701000000.0,7965000000.0,19806000000.0,,,2536268760.0,sec_company_facts,ok,0.059668012561686856,,,0.23967472197683845,0.028970073937824463,0.0896595633122355,0.09638539637208514,0.007913181098801791,-0.38928571428571423,25.137723359065944,24.41519064924631,25.959726881312726,310158
MRK,2020,174048801357.0421,ok,Merck & Co Inc,310158,42294000000.0,6220000000.0,84397000000.0,,25907000000.0,9676000000.0,22736000000.0,,,2530315668.0,sec_company_facts,ok,0.14706577765167636,,,0.26939346185290947,0.07369930210789483,0.24008955108657892,0.11464862495112385,0.0541348885898012,1.5981620718462826,25.158797692892886,24.467911068966206,25.88260156440647,310158
MRK,2021,168819056560.93765,ok,Merck & Co Inc,310158,39121000000.0,9843000000.0,91588000000.0,,25317000000.0,8050000000.0,25360000000.0,,,2527733606.0,sec_company_facts,ok,0.2516039978528156,,,0.2768921692798183,0.10747041097086954,0.38879014101196824,0.08789361051666157,-0.07502246181491468,0.5824758842443729,25.240566095677863,24.389925244158505,25.852093307054535,310158
MRK,2022,253335460577.277,ok,Merck & Co Inc,310158,41518000000.0,7067000000.0,105694000000.0,,38184000000.0,8096000000.0,30690000000.0,,,2538592467.0,sec_company_facts,ok,0.1702153282913435,,,0.290366529793555,0.06686283043502943,0.18507751937984496,0.07659848241148977,0.06127143989161832,-0.2820278370415523,25.383813963783815,24.449392905087013,26.257980378538992,310158
