company_id,ticker,year,market_cap,data_quality_flag
718877,ATVI,2011,,missing_price
718877,ATVI,2012,,missing_price
718877,ATVI,2013,,missing_price
718877,ATVI,2014,,missing_price
718877,ATVI,2015,,missing_price
718877,ATVI,2016,,missing_price
1065088,EBAY,2010,,missing_shares
1065088,EBAY,2011,34514210375.44979,ok
1065088,EBAY,2012,58374670665.06958,ok
1065088,EBAY,2013,62804290987.24365,ok
1065088,EBAY,2014,60760213920.043945,ok
1065088,EBAY,2015,28779850646.972656,ok
1065088,EBAY,2016,,missing_shares
68505,MSI,2010,,missing_shares
68505,MSI,2011,11568205207.824709,ok
68505,MSI,2012,12282344478.607178,ok
68505,MSI,2013,13988027509.689331,ok
68505,MSI,2014,12243418589.019775,ok
68505,MSI,2015,10121018492.889404,ok
68505,MSI,2016,,missing_shares
1043604,JNPR,2010,,missing_price
1043604,JNPR,2011,,missing_price
1043604,JNPR,2012,,missing_price
1043604,JNPR,2013,,missing_price
1043604,JNPR,2014,,missing_price
1043604,JNPR,2015,,missing_price
1043604,JNPR,2016,,missing_price
1086222,AKAM,2010,,missing_shares
1086222,AKAM,2011,5729849046.039551,ok
1086222,AKAM,2012,7273094893.612495,ok
1086222,AKAM,2013,8425437291.778503,ok
1086222,AKAM,2014,11225805801.640924,ok
1086222,AKAM,2015,9326677275.31303,ok
1086222,AKAM,2016,,missing_shares
