ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
NFLX,Netflix Inc,1065280,2024,31615550000.0,4491924000.0,48731992000.0,28143679000.0,15849248000.0,7116913000.0,14143417000.0,5632831000.0,,427757100.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2017,4046025000.0,-888663000.0,22664076000.0,16750167000.0,4752911000.0,1905713000.0,5892016000.0,-716629000.0,923503000.0,168919941.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2018,21461268000.0,-674914000.0,28655372000.0,23022980000.0,4237242000.0,1196908000.0,8828985000.0,-667340000.0,1599257000.0,172721487.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2019,11759000000.0,-1962000000.0,29740000000.0,23427000000.0,4923000000.0,3393000000.0,8411000000.0,-1632000000.0,2223000000.0,181341586.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2020,21461000000.0,-976000000.0,34309000000.0,26199000000.0,6618000000.0,3686000000.0,10402000000.0,-388000000.0,4042000000.0,959853504.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2021,24578000000.0,-862000000.0,52148000000.0,28418000000.0,22225000000.0,6268000000.0,8462000000.0,-69000000.0,4069000000.0,1033507611.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2022,31536000000.0,721000000.0,62131000000.0,30548000000.0,30189000000.0,19384000000.0,4254000000.0,1994000000.0,6630000000.0,3164102701.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2023,53823000000.0,5519000000.0,82338000000.0,36440000000.0,44704000000.0,17576000000.0,1029000000.0,6523000000.0,13606000000.0,3184790415.0,sec_company_facts,ok
TSLA,Tesla Motors Inc,1318605,2024,81462000000.0,12556000000.0,106618000000.0,43009000000.0,62634000000.0,16253000000.0,2682000000.0,13656000000.0,20853000000.0,3216517037.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2017,4795511000.0,629551000.0,12697246000.0,5272411000.0,6775905000.0,1117400000.0,1892200000.0,903095000.0,4051194000.0,491578529.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2018,5854430000.0,1168782000.0,14535556000.0,6075687000.0,7001580000.0,876560000.0,1881421000.0,1493602000.0,5034522000.0,487725915.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2019,7301505000.0,1693954000.0,18768682000.0,9406568000.0,7424835000.0,1011315000.0,4124800000.0,2168095000.0,6291014000.0,482130975.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2020,9030000000.0,2591000000.0,20762000000.0,10232000000.0,8459000000.0,2306000000.0,989000000.0,2840000000.0,7835000000.0,478700000.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2021,11171000000.0,2951000000.0,24284000000.0,11020000000.0,9362000000.0,1643000000.0,4117000000.0,3268000000.0,9498000000.0,471700000.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2022,12868000000.0,5260000000.0,27241000000.0,12444000000.0,10530000000.0,3844000000.0,4123000000.0,4237000000.0,11146000000.0,457800000.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2023,15785000000.0,4822000000.0,27165000000.0,13114000000.0,13264000000.0,4236000000.0,3629000000.0,5802000000.0,13920000000.0,452000000.0,sec_company_facts,ok
ADBE,Adobe Systems Inc,796343,2024,17606000000.0,4756000000.0,29779000000.0,13261000000.0,14797000000.0,7141000000.0,3634000000.0,6098000000.0,15441000000.0,435300000.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2017,25281000000.0,5271000000.0,50796000000.0,20591000000.0,31778000000.0,7907000000.0,10008000000.0,5776000000.0,,1474164639.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2018,23554000000.0,5705000000.0,52359000000.0,34740000000.0,65486000000.0,7560000000.0,19398000000.0,6495000000.0,,1212162586.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2019,22258000000.0,2445000000.0,65498000000.0,31911000000.0,30725000000.0,35029000000.0,15365000000.0,2581000000.0,,1141844863.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2020,22611000000.0,-4964000000.0,32718000000.0,28048000000.0,32957000000.0,11839000000.0,13437000000.0,621000000.0,,1131000000.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2021,24273000000.0,4386000000.0,35594000000.0,29517000000.0,35594000000.0,6707000000.0,15226000000.0,7667000000.0,,1120000000.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2022,23531000000.0,5198000000.0,41240000000.0,31290000000.0,41240000000.0,7116000000.0,13701000000.0,6255000000.0,,1121000000.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2023,33566000000.0,9043000000.0,49014000000.0,31001000000.0,49014000000.0,2773000000.0,13537000000.0,9789000000.0,,1113000000.0,sec_company_facts,ok
QCOM,Qualcomm Inc/De,804328,2024,44200000000.0,12936000000.0,51040000000.0,29459000000.0,51040000000.0,8450000000.0,14484000000.0,15860000000.0,,1111000000.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2017,13000000000.0,2986000000.0,16431000000.0,5958000000.0,10473000000.0,1199000000.0,3609000000.0,4322000000.0,7575000000.0,983787502.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2018,13370000000.0,3595000000.0,17642000000.0,7305000000.0,10337000000.0,1000000000.0,4077000000.0,4855000000.0,8257000000.0,938484603.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2019,14961000000.0,3682000000.0,17137000000.0,8143000000.0,8994000000.0,2438000000.0,5068000000.0,6083000000.0,9614000000.0,933975619.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2020,15784000000.0,5580000000.0,18018000000.0,9111000000.0,8907000000.0,2437000000.0,5803000000.0,6713000000.0,10277000000.0,920239191.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2021,14383000000.0,5017000000.0,19351000000.0,10164000000.0,9187000000.0,3107000000.0,6798000000.0,5723000000.0,9164000000.0,923547062.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2022,14461000000.0,5595000000.0,24676000000.0,11343000000.0,13333000000.0,4631000000.0,7741000000.0,5894000000.0,9269000000.0,906205795.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2023,18344000000.0,7769000000.0,27207000000.0,12630000000.0,14577000000.0,3050000000.0,8735000000.0,8960000000.0,12376000000.0,909287673.0,sec_company_facts,ok
TXN,Texas Instruments Inc,97476,2024,20028000000.0,8749000000.0,32348000000.0,15451000000.0,16897000000.0,2964000000.0,11223000000.0,10140000000.0,13771000000.0,910332971.0,sec_company_facts,ok
