ticker,year,market_cap,price_used,shares_used,data_source,data_quality_flag
META,2020,687359526882.6003,270.7820739746094,2538423304.0,yfinance+yfinance_fast_info,ok
META,2021,846366167429.501,333.4219970703125,2538423304.0,yfinance+yfinance_fast_info,ok
META,2022,302814638114.144,119.29241180419922,2538423304.0,yfinance+yfinance_fast_info,ok
META,2023,890678727707.8423,350.87872314453125,2538423304.0,yfinance+yfinance_fast_info,ok
META,2024,1477769991816.7222,582.1605834960938,2538423304.0,yfinance+yfinance_fast_info,ok
NVDA,2017,112501112855.64285,191.1229705810547,588632086.0,yfinance+sec_facts,ok
NVDA,2018,79949855615.40546,132.22803115844727,604636210.0,yfinance+sec_facts,ok
NVDA,2019,141784741172.79053,233.96821975708008,606000000.0,yfinance+sec_facts,ok
NVDA,2020,318207922668.45703,519.9475860595703,612000000.0,yfinance+sec_facts,ok
NVDA,2021,181751678848.2666,293.1478691101074,620000000.0,yfinance+sec_facts,ok
NVDA,2022,365998116874.6948,145.81598281860352,2510000000.0,yfinance+sec_facts,ok
NVDA,2023,1220915636825.5615,494.2978286743164,2470000000.0,yfinance+sec_facts,ok
NVDA,2024,335201263427.7344,134.08050537109375,2500000000.0,yfinance+sec_facts,ok
ORCL,2017,172419542314.06403,41.68063735961914,4136682000.0,yfinance+sec_facts,ok
ORCL,2018,161009475151.3481,40.44290542602539,3981155000.0,yfinance+sec_facts,ok
ORCL,2019,161006305131.9275,48.265899658203125,3335819000.0,yfinance+sec_facts,ok
ORCL,2020,184031274741.0736,59.970787048339844,3068682000.0,yfinance+sec_facts,ok
ORCL,2021,229205536987.3047,82.09367370605469,2792000000.0,yfinance+sec_facts,ok
ORCL,2022,208609468765.41138,78.27964782714844,2664926000.0,yfinance+sec_facts,ok
ORCL,2023,278213224860.37445,102.50061798095703,2714259000.0,yfinance+sec_facts,ok
ORCL,2024,451936566267.7002,163.99111938476562,2755860000.0,yfinance+sec_facts,ok
NFLX,2017,83300742865.5043,191.95999145507812,433948461.0,yfinance+sec_facts,ok
NFLX,2018,116859983737.38329,267.66000747680664,436598597.0,yfinance+sec_facts,ok
NFLX,2019,141984660587.35873,323.56998443603516,438806649.0,yfinance+sec_facts,ok
NFLX,2020,239486762725.34534,540.7300186157227,442895261.0,yfinance+sec_facts,ok
NFLX,2021,267461131877.8046,602.4399948120117,443963107.0,yfinance+sec_facts,ok
NFLX,2022,131323861180.28793,294.88000869750977,445346776.0,yfinance+sec_facts,ok
NFLX,2023,210701985069.3103,486.87999725341797,432759584.0,yfinance+sec_facts,ok
NFLX,2024,381268474559.0973,891.3200378417969,427757100.0,yfinance+sec_facts,ok
TSLA,2017,52593222406.03097,311.3499927520752,168919941.0,yfinance+sec_facts,ok
TSLA,2018,57481710412.38387,332.7999973297119,172721487.0,yfinance+sec_facts,ok
TSLA,2019,75860624274.01823,418.3299922943115,181341586.0,yfinance+sec_facts,ok
TSLA,2020,677339805763.9336,705.6699829101562,959853504.0,yfinance+sec_facts,ok
TSLA,2021,1092190203431.1233,1056.780029296875,1033507611.0,yfinance+sec_facts,ok
TSLA,2022,389754171674.78754,123.18000030517578,3164102701.0,yfinance+sec_facts,ok
TSLA,2023,791356708712.3074,248.47999572753906,3184790415.0,yfinance+sec_facts,ok
TSLA,2024,1298958228442.8428,403.8399963378906,3216517037.0,yfinance+sec_facts,ok
ADBE,2017,86144224122.28151,175.24000549316406,491578529.0,yfinance+sec_facts,ok
ADBE,2018,110343113688.75847,226.24000549316406,487725915.0,yfinance+sec_facts,ok
ADBE,2019,159011615687.67242,329.80999755859375,482130975.0,yfinance+sec_facts,ok
ADBE,2020,239407441662.59766,500.1199951171875,478700000.0,yfinance+sec_facts,ok
ADBE,2021,267482200848.38867,567.0599975585938,471700000.0,yfinance+sec_facts,ok
ADBE,2022,154063433441.1621,336.5299987792969,457800000.0,yfinance+sec_facts,ok
ADBE,2023,269663188964.84375,596.5999755859375,452000000.0,yfinance+sec_facts,ok
ADBE,2024,193569200811.76758,444.67999267578125,435300000.0,yfinance+sec_facts,ok
QCOM,2017,75877752599.21434,51.47169494628906,1474164639.0,yfinance+sec_facts,ok
QCOM,2018,57038056532.32104,47.05479049682617,1212162586.0,yfinance+sec_facts,ok
QCOM,2019,86643280895.7039,75.88008117675781,1141844863.0,yfinance+sec_facts,ok
QCOM,2020,152493750274.6582,134.83090209960938,1131000000.0,yfinance+sec_facts,ok
QCOM,2021,184713798828.125,164.92303466796875,1120000000.0,yfinance+sec_facts,ok
QCOM,2022,113977045532.22656,101.6744384765625,1121000000.0,yfinance+sec_facts,ok
QCOM,2023,152854304031.37207,137.3354034423828,1113000000.0,yfinance+sec_facts,ok
QCOM,2024,164399672348.02246,147.97450256347656,1111000000.0,yfinance+sec_facts,ok
TXN,2017,81153537128.44467,82.49092102050781,983787502.0,yfinance+sec_facts,ok
TXN,2018,71866095266.56647,76.57674407958984,938484603.0,yfinance+sec_facts,ok
