ticker,company_name,cik,latest_10q_filing_date,latest_10q_period,latest_10q_form_type,latest_10q_total_words,latest_10q_risk_word_count,latest_10q_risk_score,latest_10q_risk_words_per_1000,latest_10q_debt_liquidity_mentions,latest_10q_legal_regulatory_mentions,latest_10q_uncertainty_mentions,latest_10q_cost_cyber_mentions,latest_10q_data_quality_flag,latest_10q_warning_text
MCD,McDonald's Corp,63908,2026-05-07,2026-03-31,10-Q,659.0,3.0,24.0,4.55,0.0,0.0,0.0,0.0,ok,
MCHP,Microchip Technology Inc,827054,2026-02-05,2025-12-31,10-Q,12486.0,33.0,62.9,2.64,149.0,15.0,24.0,5.0,ok,
MDLZ,Mondelez International Inc,1418135,2026-04-23,2026-03-31,10-Q,12447.0,45.0,52.9,3.62,41.0,23.0,4.0,38.0,ok,
META,Facebook Inc,1326801,2026-04-30,2026-03-31,10-Q,12519.0,44.0,41.7,3.51,14.0,110.0,3.0,1.0,ok,
MMM,3M Co,66740,2026-04-21,2026-03-31,10-Q,12127.0,26.0,44.8,2.14,34.0,86.0,7.0,5.0,ok,
MPWR,Monolithic Power Systems Inc,1280452,2026-05-04,2026-03-31,10-Q,10807.0,53.0,48.8,4.9,12.0,15.0,6.0,14.0,ok,
MRK,Merck & Co Inc,310158,2026-05-04,2026-03-31,10-Q,139.0,6.0,52.8,43.17,0.0,2.0,0.0,0.0,ok,
MRVL,Marvell Technology Inc,1058057,2020-12-04,2020-10-31,10-Q,12248.0,50.0,62.9,4.08,56.0,13.0,12.0,26.0,ok,
MS,Morgan Stanley,895421,2026-05-05,2026-03-31,10-Q,11841.0,66.0,60.0,5.57,112.0,13.0,0.0,3.0,ok,
MSFT,Microsoft Corp,789019,2026-04-29,2026-03-31,10-Q,8409.0,29.0,43.6,3.45,33.0,1.0,15.0,0.0,ok,
MSI,Motorola Solutions Inc,68505,2026-05-07,2026-04-04,10-Q,12506.0,34.0,32.1,2.72,32.0,11.0,3.0,11.0,ok,
MU,Micron Technology Inc,723125,2026-06-25,2026-05-28,10-Q,12765.0,27.0,35.0,2.12,39.0,15.0,7.0,6.0,ok,
NEE,NextEra Energy Inc,753308,2026-04-23,2026-03-31,10-Q,12295.0,110.0,86.9,8.95,79.0,31.0,20.0,31.0,ok,
NFLX,Netflix Inc,1065280,2026-04-17,2026-03-31,10-Q,11711.0,13.0,31.1,1.11,61.0,12.0,2.0,1.0,ok,
NKE,Nike Inc,320187,2026-04-01,2026-02-28,10-Q,12732.0,37.0,31.9,2.91,30.0,7.0,7.0,8.0,ok,
NOC,Northrop Grumman Corp,1133421,2026-04-21,2026-03-31,10-Q,12279.0,46.0,57.9,3.75,33.0,25.0,13.0,19.0,ok,
NOW,ServiceNow Inc,1373715,2026-04-23,2026-03-31,10-Q,12372.0,23.0,31.7,1.86,47.0,11.0,5.0,5.0,ok,
NVDA,Nvidia Corp,1045810,2026-05-20,2026-04-26,10-Q,12010.0,46.0,60.8,3.83,57.0,24.0,7.0,11.0,ok,
OKTA,Okta Inc,1660134,2026-05-29,2026-04-30,10-Q,10051.0,36.0,35.2,3.58,22.0,5.0,4.0,13.0,ok,
ON,ON Semiconductor Corp,863894,2026-05-13,2026-03-31,10-Q,12482.0,76.0,51.0,6.09,21.0,58.0,1.0,2.0,ok,
ORCL,Oracle Corp,1341439,2026-03-11,2026-02-28,10-Q,12266.0,12.0,32.5,0.98,43.0,13.0,3.0,26.0,ok,
OXY,Occidental Petroleum Corp,797468,2026-05-05,2026-03-31,10-Q,12408.0,49.0,64.7,3.95,54.0,19.0,11.0,23.0,ok,
PANW,Palo Alto Networks Inc,1327567,2026-06-03,2026-04-30,10-Q,12736.0,36.0,36.1,2.83,44.0,12.0,3.0,7.0,ok,
PEP,PepsiCo Inc,77476,2026-07-09,2026-06-13,10-Q,12461.0,74.0,69.8,5.94,45.0,15.0,34.0,64.0,ok,
PFE,Pfizer Inc,78003,2026-05-05,2026-03-29,10-Q,11914.0,46.0,71.3,3.86,63.0,34.0,17.0,12.0,ok,
PG,Procter & Gamble Co,80424,2026-04-24,2026-03-31,10-Q,12414.0,75.0,60.3,6.04,43.0,11.0,9.0,63.0,ok,
PLD,Prologis Inc,1045609,2026-04-30,2026-03-31,10-Q,12244.0,30.0,33.8,2.45,81.0,1.0,2.0,0.0,ok,
PM,Philip Morris International Inc,1413329,2026-04-24,2026-03-31,10-Q,12229.0,47.0,54.1,3.84,29.0,25.0,10.0,12.0,ok,
PYPL,PayPal Holdings Inc,1633917,2026-05-05,2026-03-31,10-Q,12528.0,22.0,37.0,1.76,86.0,5.0,8.0,1.0,ok,
QCOM,Qualcomm Inc/De,804328,2026-04-29,2026-03-29,10-Q,12302.0,90.0,64.4,7.32,35.0,24.0,13.0,8.0,ok,
REGN,Regeneron Pharmaceuticals Inc,872589,2026-04-29,2026-03-31,10-Q,11964.0,39.0,39.4,3.26,14.0,83.0,0.0,3.0,ok,
SBUX,Starbucks Corp,829224,2026-04-28,2026-03-29,10-Q,12322.0,26.0,56.7,2.11,100.0,9.0,18.0,32.0,ok,
SCHW,Charles Schwab Corp,316557,,,,,,,,,,,,submissions_error,Failed to fetch submissions for CIK 316557
SLB,Schlumberger Ltd,87347,2026-04-29,2026-03-31,10-Q,8380.0,70.0,64.6,8.35,66.0,7.0,1.0,11.0,ok,
SNDK,Sandisk Corp,1000180,2016-05-02,2016-04-03,10-Q,12443.0,21.0,27.7,1.69,36.0,4.0,13.0,2.0,ok,
SNPS,Synopsys Inc,883241,2026-05-27,2026-04-30,10-Q,12091.0,19.0,31.1,1.57,71.0,4.0,1.0,8.0,ok,
SO,Southern Co,92122,2026-04-30,2026-03-31,10-Q,12275.0,20.0,34.9,1.63,22.0,49.0,5.0,10.0,ok,
STX,Seagate Technology PLC,1137789,2026-04-29,2026-04-03,10-Q,12833.0,39.0,56.7,3.04,77.0,19.0,8.0,9.0,ok,
SWKS,Skyworks Solutions Inc,4127,2026-05-05,2026-04-03,10-Q,10719.0,32.0,59.2,2.99,45.0,21.0,17.0,10.0,ok,
SYMC,Symantec Corp,849399,2026-02-06,2026-01-02,10-Q,12496.0,27.0,45.2,2.16,48.0,15.0,11.0,12.0,ok,
T,AT&T Inc,732717,2026-04-27,2026-03-31,10-Q,519.0,3.0,26.7,5.78,0.0,0.0,0.0,0.0,ok,
TGT,Target Corp,27419,2026-05-29,2026-05-02,10-Q,8250.0,21.0,52.4,2.55,63.0,11.0,1.0,15.0,ok,
