ticker,current_price,current_market_cap,previous_close,daily_change_pct,volume,shares_outstanding,last_updated,data_quality_flag
CTSH,42.40999984741211,20059929927.825928,43.18000030517578,-1.7832340257565389,2800749.0,473000000.0,2026-07-23T11:28:58,ok
CVS,106.9800033569336,136498707586.06323,108.08000183105469,-1.017763189753232,1460994.0,1275927307.0,2026-07-23T11:28:58,ok
CVX,197.27999877929688,392902398137.8104,192.97999572753906,2.228211807937243,2898560.0,1991597732.0,2026-07-23T11:28:58,ok
DDOG,243.2899932861328,86565959231.95343,245.77000427246094,-1.0090779766512035,842305.0,355960189.0,2026-07-23T11:28:58,ok
DE,611.1599731445312,164974949413.70392,607.3300170898438,0.630621893684686,736652.0,269937425.0,2026-07-23T11:28:58,ok
DIS,92.62000274658203,160835692860.35107,95.87000274658203,-3.390007204433786,4678006.0,1736511424.0,2026-07-23T11:28:58,ok
DUK,129.53750610351562,100986949717.91519,127.94999694824219,1.2407262158166446,1011217.0,779596217.0,2026-07-23T11:28:58,ok
EA,208.97999572753906,52402044054.99408,208.9499969482422,0.014356917796129869,389257.0,250751484.0,2026-07-23T11:28:58,ok
EBAY,107.70999908447266,47823239593.50586,110.94999694824219,-2.920232494716498,649216.0,444000000.0,2026-07-23T11:28:58,ok
EQIX,1032.8800048828125,101867013755.80371,1028.739990234375,0.4024354732719481,84210.0,98624248.0,2026-07-23T11:28:58,ok
FTNT,151.94000244140625,111318598317.23236,155.0500030517578,-2.0058049333371515,1059106.0,732648391.0,2026-07-23T11:28:58,ok
GILD,130.2100067138672,161664821629.27524,130.33999633789062,-0.09973118587977797,1232857.0,1241569874.0,2026-07-23T11:28:58,ok
GOOGL,316.5299987792969,3862785447476.2803,342.0899963378906,-7.471717335267389,35245513.0,12202573129.0,2026-07-23T11:28:58,ok
GRMN,241.11000061035156,46499559946.37009,240.50999450683594,0.24947241994908914,99875.0,192856206.0,2026-07-23T11:28:58,ok
HCA,375.3550109863281,83268680566.20483,371.8699951171875,0.9371597372469889,385977.0,221839800.0,2026-07-23T11:28:58,ok
HD,325.0050048828125,324067912102.1438,331.45001220703125,-1.9444884860022424,936026.0,997116682.0,2026-07-23T11:28:58,ok
HON,246.57000732421875,78119926973.13702,232.99000549316406,5.8285769822230105,2284516.0,316826559.0,2026-07-23T11:28:58,ok
HPQ,24.729999542236328,22616145705.064735,25.100000381469727,-1.4741069068132544,2419901.0,914522690.0,2026-07-23T11:28:58,ok
ICE,143.25,81009664908.75,142.52999877929688,0.5051576698727289,682269.0,565512495.0,2026-07-23T11:28:58,ok
INTC,100.68009948730469,506017681533.8135,102.62000274658203,-1.8903753725946535,35291111.0,5026000000.0,2026-07-23T11:28:58,ok
INTU,280.0400085449219,76601303817.3523,284.4700012207031,-1.5572793815767891,781645.0,273537000.0,2026-07-23T11:28:58,ok
ISRG,330.5199890136719,118418053183.59991,340.69000244140625,-2.985122356058414,1835945.0,358278038.0,2026-07-23T11:28:58,ok
JNJ,259.7300109863281,625214442485.4614,255.6300048828125,1.6038829656930043,1973529.0,2407216971.0,2026-07-23T11:28:58,ok
JPM,347.3999938964844,923458663775.6348,348.2099914550781,-0.2326175521871107,1850114.0,2658200000.0,2026-07-23T11:28:58,ok
KLAC,214.36500549316406,280019692567.234,214.69000244140625,-0.15137963787153363,1941316.0,1306275210.0,2026-07-23T11:28:58,ok
KO,81.47989654541016,350565822307.0861,82.19999694824219,-0.8760345858473055,4247036.0,4302482418.0,2026-07-23T11:28:58,ok
LMT,567.97998046875,130955513568.64453,514.3599853515625,10.424604682368225,1476054.0,230563608.0,2026-07-23T11:28:58,ok
LOGI,103.30999755859375,14828660935.921326,104.41999816894531,-1.063015351288982,261735.0,143535585.0,2026-07-23T11:28:58,ok
LOW,201.11000061035156,112763793357.73842,204.35000610351562,-1.5855176884716136,607972.0,560707041.0,2026-07-23T11:28:58,ok
LRCX,318.2200012207031,397765207690.36865,319.2900085449219,-0.33512082920947633,1934204.0,1250539000.0,2026-07-23T11:28:58,ok
MA,527.2996215820312,465913432377.4924,531.97998046875,-0.879799815510856,623869.0,883583855.0,2026-07-23T11:28:58,ok
MCD,263.3699951171875,187125924615.5631,263.57000732421875,-0.07588579939796185,1200469.0,710505859.0,2026-07-23T11:28:58,ok
MCHP,80.34500122070312,43628008150.502014,85.0199966430664,-5.49870101970245,2986825.0,543008370.0,2026-07-23T11:28:58,ok
MDLZ,60.17499923706055,77243623689.70294,60.86000061035156,-1.1255362576754642,1571711.0,1283649766.0,2026-07-23T11:28:58,ok
META,599.14501953125,1520883680053.6602,627.1699829101562,-4.468479701287123,5432343.0,2538423304.0,2026-07-23T11:28:58,ok
MMM,169.55999755859375,87445891767.43207,170.75999450683594,-0.7027389241302352,1212803.0,515722417.0,2026-07-23T11:28:58,ok
MPWR,1372.969970703125,67453008273.656006,1398.449951171875,-1.8220159003472558,177672.0,49129267.0,2026-07-23T11:28:58,ok
