ticker,year,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text
AMZN,2022,61.2,real_sec_filing,"risk_per1k=13.4, debt=4, legal=46, uncertainty=25, cost+cyber=10",ok,
AMZN,2023,65.6,real_sec_filing,"risk_per1k=14.1, debt=3, legal=50, uncertainty=25, cost+cyber=27",ok,
AMZN,2024,66.3,real_sec_filing,"risk_per1k=14.1, debt=3, legal=49, uncertainty=25, cost+cyber=33",ok,
CRM,2010,32.9,real_sec_filing,"risk_per1k=6.2, debt=9, legal=15, uncertainty=10, cost+cyber=7",ok,
CRM,2011,28.7,real_sec_filing,"risk_per1k=6.8, debt=8, legal=14, uncertainty=5, cost+cyber=4",ok,
CRM,2012,35.3,real_sec_filing,"risk_per1k=7.5, debt=11, legal=19, uncertainty=5, cost+cyber=6",ok,
CRM,2013,39.3,real_sec_filing,"risk_per1k=8.6, debt=8, legal=29, uncertainty=5, cost+cyber=6",ok,
CRM,2014,43.8,real_sec_filing,"risk_per1k=7.2, debt=15, legal=34, uncertainty=5, cost+cyber=8",ok,
CRM,2015,42.6,real_sec_filing,"risk_per1k=7.2, debt=10, legal=36, uncertainty=7, cost+cyber=8",ok,
CRM,2017,45.1,real_sec_filing,"risk_per1k=8.2, debt=14, legal=25, uncertainty=8, cost+cyber=8",ok,
CRM,2018,48.5,real_sec_filing,"risk_per1k=8.5, debt=15, legal=28, uncertainty=8, cost+cyber=11",ok,
CRM,2019,50.9,real_sec_filing,"risk_per1k=9.0, debt=15, legal=26, uncertainty=10, cost+cyber=11",ok,
CRM,2020,53.5,real_sec_filing,"risk_per1k=9.9, debt=13, legal=27, uncertainty=9, cost+cyber=14",ok,
CRM,2021,62.5,real_sec_filing,"risk_per1k=13.9, debt=10, legal=29, uncertainty=11, cost+cyber=16",ok,
CRM,2022,55.2,real_sec_filing,"risk_per1k=11.6, debt=10, legal=25, uncertainty=8, cost+cyber=18",ok,
CRM,2023,62.1,real_sec_filing,"risk_per1k=12.3, debt=11, legal=23, uncertainty=14, cost+cyber=31",ok,
CRM,2024,64.0,real_sec_filing,"risk_per1k=12.2, debt=15, legal=23, uncertainty=14, cost+cyber=31",ok,
CSCO,2011,31.5,real_sec_filing,"risk_per1k=9.0, debt=3, legal=7, uncertainty=22, cost+cyber=3",ok,
CSCO,2012,31.4,real_sec_filing,"risk_per1k=8.5, debt=4, legal=8, uncertainty=18, cost+cyber=4",ok,
CSCO,2013,28.2,real_sec_filing,"risk_per1k=8.0, debt=4, legal=6, uncertainty=15, cost+cyber=3",ok,
CSCO,2014,33.6,real_sec_filing,"risk_per1k=8.4, debt=6, legal=7, uncertainty=17, cost+cyber=2",ok,
CSCO,2015,35.1,real_sec_filing,"risk_per1k=8.4, debt=7, legal=7, uncertainty=17, cost+cyber=2",ok,
CSCO,2017,31.9,real_sec_filing,"risk_per1k=8.7, debt=4, legal=8, uncertainty=18, cost+cyber=4",ok,
CSCO,2018,35.6,real_sec_filing,"risk_per1k=10.3, debt=2, legal=11, uncertainty=25, cost+cyber=5",ok,
CSCO,2019,38.9,real_sec_filing,"risk_per1k=10.7, debt=2, legal=11, uncertainty=25, cost+cyber=10",ok,
CSCO,2020,46.8,real_sec_filing,"risk_per1k=13.3, debt=3, legal=10, uncertainty=24, cost+cyber=13",ok,
CSCO,2021,40.2,real_sec_filing,"risk_per1k=10.8, debt=4, legal=4, uncertainty=19, cost+cyber=12",ok,
CSCO,2022,45.6,real_sec_filing,"risk_per1k=11.2, debt=5, legal=7, uncertainty=21, cost+cyber=15",ok,
CSCO,2023,34.8,real_sec_filing,"risk_per1k=9.1, debt=3, legal=8, uncertainty=20, cost+cyber=12",ok,
CSCO,2024,36.4,real_sec_filing,"risk_per1k=9.4, debt=4, legal=11, uncertainty=10, cost+cyber=24",ok,
EA,2010,32.5,real_sec_filing,"risk_per1k=7.2, debt=5, legal=20, uncertainty=17, cost+cyber=3",ok,
EA,2011,30.9,real_sec_filing,"risk_per1k=7.7, debt=4, legal=19, uncertainty=13, cost+cyber=7",ok,
EA,2012,47.2,real_sec_filing,"risk_per1k=9.2, debt=14, legal=19, uncertainty=16, cost+cyber=6",ok,
EA,2013,48.7,real_sec_filing,"risk_per1k=9.5, debt=21, legal=19, uncertainty=12, cost+cyber=5",ok,
EA,2014,51.8,real_sec_filing,"risk_per1k=8.7, debt=23, legal=23, uncertainty=14, cost+cyber=10",ok,
EA,2015,54.5,real_sec_filing,"risk_per1k=10.2, debt=19, legal=23, uncertainty=13, cost+cyber=11",ok,
EA,2017,63.1,real_sec_filing,"risk_per1k=10.8, debt=30, legal=28, uncertainty=15, cost+cyber=14",ok,
EA,2018,62.7,real_sec_filing,"risk_per1k=11.8, debt=29, legal=27, uncertainty=12, cost+cyber=12",ok,
EA,2019,58.8,real_sec_filing,"risk_per1k=10.3, debt=28, legal=26, uncertainty=12, cost+cyber=13",ok,
EA,2020,40.7,real_sec_filing,"risk_per1k=9.2, debt=5, legal=25, uncertainty=12, cost+cyber=11",ok,
EA,2021,34.7,real_sec_filing,"risk_per1k=9.6, debt=6, legal=14, uncertainty=8, cost+cyber=8",ok,
EA,2022,38.6,real_sec_filing,"risk_per1k=9.8, debt=7, legal=12, uncertainty=8, cost+cyber=13",ok,
EA,2023,59.2,real_sec_filing,"risk_per1k=9.7, debt=32, legal=33, uncertainty=10, cost+cyber=13",ok,
EA,2024,67.8,real_sec_filing,"risk_per1k=11.5, debt=29, legal=36, uncertainty=11, cost+cyber=25",ok,
EBAY,2011,42.0,real_sec_filing,"risk_per1k=6.5, debt=8, legal=80, uncertainty=6, cost+cyber=0",ok,
EBAY,2012,45.8,real_sec_filing,"risk_per1k=6.8, debt=11, legal=69, uncertainty=7, cost+cyber=1",ok,
EBAY,2013,50.4,real_sec_filing,"risk_per1k=6.9, debt=19, legal=55, uncertainty=9, cost+cyber=1",ok,
EBAY,2014,41.9,real_sec_filing,"risk_per1k=9.4, debt=17, legal=18, uncertainty=7, cost+cyber=0",ok,
EBAY,2015,67.1,real_sec_filing,"risk_per1k=10.2, debt=58, legal=87, uncertainty=12, cost+cyber=1",ok,
EBAY,2017,67.5,real_sec_filing,"risk_per1k=10.4, debt=46, legal=86, uncertainty=12, cost+cyber=2",ok,
EBAY,2018,59.5,real_sec_filing,"risk_per1k=9.7, debt=17, legal=88, uncertainty=10, cost+cyber=3",ok,
EBAY,2019,65.5,real_sec_filing,"risk_per1k=12.2, debt=13, legal=93, uncertainty=10, cost+cyber=5",ok,
EBAY,2020,62.7,real_sec_filing,"risk_per1k=11.9, debt=19, legal=42, uncertainty=10, cost+cyber=7",ok,
EBAY,2021,60.8,real_sec_filing,"risk_per1k=11.8, debt=18, legal=36, uncertainty=10, cost+cyber=9",ok,
EBAY,2022,63.1,real_sec_filing,"risk_per1k=12.0, debt=20, legal=32, uncertainty=9, cost+cyber=15",ok,
EBAY,2023,70.6,real_sec_filing,"risk_per1k=13.5, debt=21, legal=45, uncertainty=9, cost+cyber=18",ok,
EBAY,2024,72.9,real_sec_filing,"risk_per1k=12.7, debt=23, legal=53, uncertainty=8, cost+cyber=33",ok,
GOOGL,2011,47.8,real_sec_filing,"risk_per1k=11.1, debt=5, legal=38, uncertainty=13, cost+cyber=4",ok,
GOOGL,2012,40.6,real_sec_filing,"risk_per1k=9.7, debt=1, legal=42, uncertainty=11, cost+cyber=10",ok,
GOOGL,2013,48.6,real_sec_filing,"risk_per1k=11.2, debt=3, legal=42, uncertainty=13, cost+cyber=12",ok,
GOOGL,2015,54.3,real_sec_filing,"risk_per1k=12.9, debt=5, legal=38, uncertainty=14, cost+cyber=10",ok,
GRMN,2011,2.2,real_sec_filing,"risk_per1k=1.3, debt=0, legal=1, uncertainty=0, cost+cyber=1",ok,
GRMN,2012,3.7,real_sec_filing,"risk_per1k=1.4, debt=0, legal=6, uncertainty=1, cost+cyber=1",ok,
GRMN,2013,25.4,real_sec_filing,"risk_per1k=5.5, debt=3, legal=17, uncertainty=19, cost+cyber=1",ok,
GRMN,2014,23.7,real_sec_filing,"risk_per1k=5.1, debt=3, legal=14, uncertainty=17, cost+cyber=3",ok,
GRMN,2015,34.6,real_sec_filing,"risk_per1k=6.7, debt=3, legal=22, uncertainty=21, cost+cyber=11",ok,
GRMN,2017,21.8,real_sec_filing,"risk_per1k=5.2, debt=2, legal=12, uncertainty=16, cost+cyber=4",ok,
GRMN,2018,18.6,real_sec_filing,"risk_per1k=4.7, debt=1, legal=14, uncertainty=10, cost+cyber=5",ok,
GRMN,2019,34.4,real_sec_filing,"risk_per1k=7.6, debt=3, legal=21, uncertainty=22, cost+cyber=5",ok,
GRMN,2020,51.1,real_sec_filing,"risk_per1k=10.4, debt=4, legal=31, uncertainty=26, cost+cyber=12",ok,
GRMN,2021,55.5,real_sec_filing,"risk_per1k=12.0, debt=2, legal=34, uncertainty=27, cost+cyber=23",ok,
GRMN,2022,54.7,real_sec_filing,"risk_per1k=11.4, debt=2, legal=35, uncertainty=30, cost+cyber=23",ok,
GRMN,2023,54.4,real_sec_filing,"risk_per1k=10.4, debt=2, legal=39, uncertainty=34, cost+cyber=27",ok,
GRMN,2024,60.0,real_sec_filing,"risk_per1k=11.7, debt=5, legal=29, uncertainty=30, cost+cyber=28",ok,
HPQ,2011,46.1,real_sec_filing,"risk_per1k=11.2, debt=8, legal=20, uncertainty=6, cost+cyber=9",ok,
HPQ,2012,49.8,real_sec_filing,"risk_per1k=12.9, debt=6, legal=20, uncertainty=7, cost+cyber=15",ok,
HPQ,2013,44.6,real_sec_filing,"risk_per1k=12.4, debt=4, legal=17, uncertainty=9, cost+cyber=14",ok,
HPQ,2014,46.3,real_sec_filing,"risk_per1k=11.8, debt=5, legal=18, uncertainty=11, cost+cyber=13",ok,
HPQ,2015,47.4,real_sec_filing,"risk_per1k=12.4, debt=8, legal=14, uncertainty=8, cost+cyber=9",ok,
HPQ,2017,51.2,real_sec_filing,"risk_per1k=14.9, debt=5, legal=17, uncertainty=10, cost+cyber=19",ok,
HPQ,2018,47.5,real_sec_filing,"risk_per1k=15.0, debt=3, legal=17, uncertainty=10, cost+cyber=19",ok,
HPQ,2019,46.6,real_sec_filing,"risk_per1k=12.0, debt=5, legal=16, uncertainty=12, cost+cyber=17",ok,
HPQ,2020,51.8,real_sec_filing,"risk_per1k=14.5, debt=4, legal=19, uncertainty=13, cost+cyber=22",ok,
HPQ,2021,47.7,real_sec_filing,"risk_per1k=13.8, debt=3, legal=18, uncertainty=11, cost+cyber=21",ok,
HPQ,2022,75.4,real_sec_filing,"risk_per1k=17.0, debt=30, legal=28, uncertainty=12, cost+cyber=31",ok,
HPQ,2023,71.6,real_sec_filing,"risk_per1k=14.7, debt=28, legal=25, uncertainty=12, cost+cyber=30",ok,
HPQ,2024,46.8,real_sec_filing,"risk_per1k=11.3, debt=4, legal=19, uncertainty=15, cost+cyber=21",ok,
INTC,2011,35.9,real_sec_filing,"risk_per1k=5.6, debt=7, legal=31, uncertainty=6, cost+cyber=12",ok,
INTC,2012,34.5,real_sec_filing,"risk_per1k=5.4, debt=7, legal=31, uncertainty=5, cost+cyber=11",ok,
INTC,2013,27.6,real_sec_filing,"risk_per1k=4.4, debt=5, legal=30, uncertainty=2, cost+cyber=11",ok,
INTC,2014,27.3,real_sec_filing,"risk_per1k=6.9, debt=3, legal=22, uncertainty=6, cost+cyber=11",ok,
INTC,2015,25.6,real_sec_filing,"risk_per1k=6.3, debt=4, legal=15, uncertainty=6, cost+cyber=12",ok,
INTC,2017,37.3,real_sec_filing,"risk_per1k=5.2, debt=39, legal=2, uncertainty=3, cost+cyber=22",ok,
INTC,2018,17.1,real_sec_filing,"risk_per1k=3.6, debt=6, legal=1, uncertainty=0, cost+cyber=13",ok,
INTC,2019,18.5,real_sec_filing,"risk_per1k=4.0, debt=6, legal=2, uncertainty=0, cost+cyber=12",ok,
INTC,2020,25.1,real_sec_filing,"risk_per1k=5.0, debt=9, legal=5, uncertainty=0, cost+cyber=16",ok,
INTC,2021,16.3,real_sec_filing,"risk_per1k=3.9, debt=4, legal=6, uncertainty=1, cost+cyber=16",ok,
